zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,0,1,0,1.3862943611198906,4.709530201312334,8.853808274977197
0,0,1,0,1.0986122886681098,4.875197323201151,8.699681400989514
0,0,1,0,1.3862943611198906,4.143134726391533,8.160803920954665
0,0,1,0,1.3862943611198906,4.564348191467836,8.429672593886743
1,0,0,0,0.6931471805599453,3.713572066704308,13.592368256649284
0,0,0,1,1.0986122886681098,4.174387269895637,7.919719760924575
0,0,0,1,1.0986122886681098,4.356708826689592,8.24301946898925
1,0,0,0,1.0986122886681098,4.127134385045092,7.473637108496206
0,0,1,0,1.791759469228055,5.5254529391317835,8.438366410870266
0,0,0,1,0.6931471805599453,4.060443010546419,8.006700845440367
0,0,1,0,1.3862943611198906,5.616771097666572,8.922791623969637
0,1,0,0,1.0986122886681098,4.2626798770413155,7.8826922062890254
0,0,0,1,1.3862943611198906,4.290459441148391,8.006700845440367
0,1,0,0,1.3862943611198906,5.303304908059076,7.496097345175956
0,0,0,1,1.0986122886681098,4.31748811353631,7.6783263565068856
0,1,0,0,1.0986122886681098,4.007333185232471,7.630946580890459
1,0,0,0,1.0986122886681098,4.290459441148391,6.940222469119639
0,1,0,0,1.0986122886681098,3.871201010907891,7.313886831633462
1,0,0,0,0.6931471805599453,1.9459101490553132,12.608202196848836
0,0,1,0,0.6931471805599453,3.5553480614894135,7.8636512654486515
1,0,0,0,1.0986122886681098,6.542471960506805,10.308985993422082
1,0,0,0,1.3862943611198906,4.955827057601261,8.853808274977197
0,0,0,1,1.0986122886681098,4.060443010546419,7.714677473800927
0,0,1,0,1.3862943611198906,5.19295685089021,8.38958706681109
0,0,0,1,1.0986122886681098,4.61512051684126,7.696667081526462
0,0,0,1,1.3862943611198906,4.61512051684126,8.006700845440367
0,1,0,0,1.0986122886681098,6.2166061010848646,8.922791623969637
1,0,0,0,1.0986122886681098,4.276666119016055,8.03947991910045
1,0,0,0,0.6931471805599453,3.4965075614664802,7.0909098220799835
1,0,0,0,1.3862943611198906,4.1588830833596715,7.346655163176539
0,0,0,1,1.3862943611198906,5.303304908059076,8.134760782418645
1,0,0,0,1.0986122886681098,3.970291913552122,7.969357742016346
1,0,0,0,0.6931471805599453,3.295836866004329,7.208600337960199
0,0,1,0,1.3862943611198906,4.5217885770490405,8.160803920954665
0,0,1,0,1.0986122886681098,3.5553480614894135,7.496097345175956
0,0,0,1,1.3862943611198906,4.394449154672439,7.886457270977689
0,0,1,0,1.3862943611198906,4.787491742782046,8.594339400592892
0,0,0,1,1.3862943611198906,4.442651256490317,8.033009498596668
1,0,0,0,0.6931471805599453,3.4965075614664802,7.00397413672268
0,0,1,0,0.6931471805599453,3.9318256327243257,7.501634457883413
0,0,0,1,1.0986122886681098,4.564348191467836,8.24301946898925
